ORDEM;ID;BASE;TITULO;AUTORES;ANO;IDIOMA;OBJETIVOS;METODOS;RESULTADOS;CONCLUSOES
1;src_QWWQLBBswbYkXpHpAEftq;Google Scholar;Identificação de plantas daninhas em campos de arroz usando sensoriamento remoto UAV;Yu, F.H., Feng, S., Xu, T.Y., Wang, N.Y.;2022;Inglês;Fornecer um método mais eficiente e ambientalmente amigável de controle de plantas daninhas no cultivo de arroz.;Utilização de sensoriamento remoto UAV para identificação de plantas daninhas em campos de arroz.;Os resultados mostraram que o uso de sensoriamento remoto UAV é uma ferramenta eficaz para identificação de plantas daninhas em campos de arroz.;O uso de sensoriamento remoto UAV pode ser uma alternativa viável e eficiente para o controle de plantas daninhas em campos de arroz.
2;src_yAmguePjImpNy9GXQ4ATV;Google Scholar;Identification and Comprehensive Evaluation of Resistant Weeds Using Unmanned Aerial Vehicle-Based Multispectral Imagery;INDISPONÍVEL;0;INDISPONÍVEL;Fornecer informações sobre o uso de tecnologia avançada para o manejo de ervas daninhas resistentes;Uso de imagens multiespectrais de veículos aéreos não tripulados para identificar e avaliar a resistência de ervas daninhas;Os resultados mostraram que a tecnologia de imagens multiespectrais de veículos aéreos não tripulados pode ser usada para identificar e avaliar a resistência de ervas daninhas com alta precisão;O uso de tecnologia avançada, como imagens multiespectrais de veículos aéreos não tripulados, pode ser uma ferramenta eficaz para o manejo de ervas daninhas resistentes
3;src_PybUzBDGrioqefX5AFQvS;Google Scholar;Reconhecimento de ervas daninhas com processamento de imagens e uso de lógica fuzzy para agricultura de precisão;INDISPONÍVEL;1999;Francês;Desenvolver um sistema de aquisição/gestão de imagens para detecção de ervas daninhas e um sistema de lógica fuzzy para tomada de decisões sobre a localização e quantidade de herbicida a ser aplicado em um campo agrícola.;Foram coletadas imagens digitais em três campos de milho da Universidade McGill, no Canadá, e utilizadas técnicas de processamento de imagens para identificar as áreas verdes correspondentes às ervas daninhas.;Foi desenvolvido um controlador de lógica fuzzy para controlar a aplicação de herbicidas em um bico de pulverização. O sistema foi capaz de classificar as áreas verdes nas imagens como ervas daninhas ou não ervas daninhas com uma precisão de 90%.;O sistema desenvolvido mostrou ser uma alternativa viável para a detecção de ervas daninhas e aplicação de herbicidas em campos agrícolas, permitindo uma aplicação mais precisa e econômica de herbicidas.
4;src_2l1Bo3AgfKMbdxnDwD7Vo;Nature;Reducing Chemical Usage for Weed Control in Agriculture Using UAS Imagery Analysis and Computer Vision Techniques;INDISPONÍVEL;2023;INDISPONÍVEL;Fornecer uma abordagem mais eficiente e ambientalmente amigável para o manejo de ervas daninhas em sistemas de produção agrícola comercial.;Fusão de dados de sistemas aéreos não tripulados (UAS) com uma plataforma de pulverização para minimizar o uso de produtos químicos na aplicação de controle de ervas daninhas na produção de milho.;A abordagem de controle de ervas daninhas específica do local (SSWC) tem o potencial de reduzir os gastos financeiros em produtos químicos para aplicar uma aplicação em branco de herbicida na produção de milho.;A abordagem SSWC proposta neste estudo pode ser uma alternativa viável e eficaz para reduzir o uso de produtos químicos na produção agrícola comercial.
5;src_U0fiLbPa78CnT1BMa1311;Google Scholar;Sensor-based assessment of herbicide effects;UJAR D, ANDREASEN C, BERGE TW, CHACHALIS D, DITTMANN T, GERHARDS R, GISELSSON TM, HAMOUZ P, JAEGER-HANSEN C, JENSEN K, JØRGENSEN RN, KELLER M, LAURSEN M, MIDTIBY HS, NIELSEN J, MULLER S, NORDMEYER H, PETEINATOS G, PAPADOPOULOS A, SVENSGAARD J, WEIS M, CHR;2014;INDISPONÍVEL;Avaliar os efeitos de herbicidas em plantas de forma não destrutiva;Realização de experimentos de campo com cevada e colza, utilizando diferentes sistemas de sensores para análise da coloração verde das plantas;Foi possível quantificar diferentes sintomas de herbicidas com diferentes sistemas de sensores, o que pode ser útil para o manejo integrado de plantas daninhas;A avaliação não destrutiva de efeitos de herbicidas pode ser uma ferramenta importante para o manejo integrado de plantas daninhas
6;src_LUHbvMCahirxEHBmT866K;SciElo.br;75 years of synthetic herbicide use in agriculture: Will there be 100;INDISPONÍVEL;0;Inglês;Celebrar 75 anos de uso de herbicidas sintéticos na agricultura e explorar a história do uso de herbicidas e manejo de plantas daninhas no Sudeste Asiático.;INDISPONÍVEL;INDISPONÍVEL;INDISPONÍVEL
7;src_FXdszLg87E2M7SwIHv7ly;Google Scholar;Using Deep Convolutional Neural Networks for Weeds and Crops Discrimination from UAS Imagery;"Hashemi-Beni, Leila; Gholami, Ali; Khot, Lav R.; Slaughter, David C.; Doan, Francheska;";2022;Indisponível;Demonstrar a importância do controle de ervas daninhas na agricultura e como essa tecnologia pode ajudar a melhorar o rendimento e a qualidade das culturas.;Utilização de redes neurais convolucionais profundas para discriminação de ervas daninhas e culturas a partir de imagens de UAS.;Os resultados mostraram que a tecnologia é capaz de discriminar com precisão as ervas daninhas e as culturas, o que pode ajudar a melhorar a eficiência do controle de ervas daninhas na agricultura.;A tecnologia de redes neurais convolucionais profundas pode ser uma ferramenta valiosa para o controle de ervas daninhas na agricultura, ajudando a melhorar o rendimento e a qualidade das culturas.
8;src_pdWDjvEHqWgNIG77X65SS;Springer Link;Uso de processamento de imagem digital na análise de lesões pulmonares causadas por herbicidas agrícolas;Claudio Pedrassoli Junior, Gabriela Vidotto Cavallieri, Francisco Assis da Silva, Geovana Letícia Fernandes, Gisele Alborghetti Nai, Ana Karina Marques Salge, Josiano Guilherme Puhle, Debora Tavares de Resende e Silva, Danillo Roberto Pereira, Fabíola de ;2021;Português;Analisar as lesões alveolares causadas pela exposição crônica a herbicidas agrícolas e destacar a utilidade do processamento de imagem digital nessa análise.;Experimento com exposição crônica a herbicidas agrícolas, produção de lâminas histopatológicas, processamento de imagem digital e análise dos resultados.;O estudo identificou lesões alveolares significativas em ratos expostos cronicamente a herbicidas agrícolas e demonstrou a eficácia do processamento de imagem digital na identificação dessas lesões.;O uso de processamento de imagem digital pode ser uma ferramenta valiosa na análise de lesões pulmonares causadas por exposição crônica a herbicidas agrícolas, permitindo uma identificação mais precisa e eficiente das lesões alveolares.
9;src_bBhXgoZTTLWCoorBTQetw;SemanticScholar;Identification of Weeds Using Hyperspectral Imaging and Machine Learning;Gao, Y., Zhang, Y., Li, Y., & Zhang, X.;2021;Inglês;Desenvolver um método para identificação de plantas daninhas usando imagens hiperespectrais e aprendizado de máquina.;Foram coletadas imagens hiperespectrais de plantas daninhas e plantas não daninhas em diferentes estágios de crescimento. Em seguida, foram utilizados algoritmos de aprendizado de máquina para classificar as imagens e identificar as plantas daninhas.;O método proposto obteve uma taxa de acerto de mais de 90% na identificação de plantas daninhas em diferentes estágios de crescimento.;A utilização de imagens hiperespectrais e aprendizado de máquina pode ser uma alternativa eficiente e sustentável para o controle de plantas daninhas.
10;src_6iWVTIvmLwAFVbdXilmnp;MDPI;Plant and Weed Identifier Robot as an Agroecological Tool;INDISPONÍVEL;2021;Inglês;Discutir o uso de Redes Neurais Artificiais para Identificação de Imagens na agricultura;Dividir o conjunto de dados em treinamento e avaliação, utilizar a API de detecção de objetos do TensorFlow, dividir o processo em cinco etapas, utilizar a ferramenta LabelImg para anotação de imagens, salvar as anotações no formato XML do PASCAL Visual Object Classes (VOC);INDISPONÍVEL;O uso de Redes Neurais Artificiais para Identificação de Imagens pode trazer grandes benefícios para sistemas agrícolas e desenvolvimento sustentável.
